sample_id	cluster_id	size	mean	std
PD058-F2_1815_pyclone	23	102	6.153202144772043e-20	2.4805648842092486e-11
PD058-58_T_pyclone	23	102	2.5880241632666187e-21	5.087262685636175e-12
PD058-F0_D780_pyclone	23	102	7.699069095652297e-18	2.774719642712087e-10
PD058-F0_D779_pyclone	23	102	0.5056861462275798	0.009989547902544893
PD058-F2_1815_pyclone	24	1	0.8089695423111476	0.11380742414210673
PD058-58_T_pyclone	24	1	0.2571995148752325	0.0908048230082102
PD058-F0_D780_pyclone	24	1	0.6887771758699305	0.14129974114360208
PD058-F0_D779_pyclone	24	1	0.03597395988684602	0.03990978771097935
PD058-F2_1815_pyclone	25	1	0.8538363833521603	0.11774276876795081
PD058-58_T_pyclone	25	1	0.12301038703774614	0.12005099022112609
PD058-F0_D780_pyclone	25	1	0.8538363833521603	0.11774276876795081
PD058-F0_D779_pyclone	25	1	0.12301038703774614	0.12005099022112609
PD058-F2_1815_pyclone	26	1	0.8568343966603857	0.10912751252475857
PD058-58_T_pyclone	26	1	0.1327142850594853	0.0906854384215221
PD058-F0_D780_pyclone	26	1	0.7214721067246321	0.1496415539023376
PD058-F0_D779_pyclone	26	1	0.050818350420507155	0.054152004387827385
PD058-F2_1815_pyclone	27	2	0.9643452783691691	0.036838599318419825
PD058-58_T_pyclone	27	2	0.24121879885838773	0.07184297389331194
PD058-F0_D780_pyclone	27	2	0.819046459452389	0.09897358926456655
PD058-F0_D779_pyclone	27	2	0.013463877753162197	0.018540783343380676
PD058-F2_1815_pyclone	28	5	0.36430654564374854	0.05285579332580196
PD058-58_T_pyclone	28	5	0.2164585300360964	0.0388652647791698
PD058-F0_D780_pyclone	28	5	0.29229014209162263	0.046037590354050265
PD058-F0_D779_pyclone	28	5	0.24442396821940995	0.04356299081573832
PD058-F2_1815_pyclone	29	18	0.18173305502814294	0.015219673315298827
PD058-58_T_pyclone	29	18	3.1478348915895487e-06	0.00017745129814217934
PD058-F0_D780_pyclone	29	18	0.18146089711936156	0.01544314434037794
PD058-F0_D779_pyclone	29	18	0.053304185538483304	0.008662684133736161
PD058-F2_1815_pyclone	30	1	0.8689053011331564	0.0899356833557141
PD058-58_T_pyclone	30	1	0.3128483327428749	0.0940191278220082
PD058-F0_D780_pyclone	30	1	0.65990519589399	0.1112138450572994
PD058-F0_D779_pyclone	30	1	0.03597395988684602	0.03990978771097935
PD058-F2_1815_pyclone	31	1	0.8675574849645873	0.1015188418851933
PD058-58_T_pyclone	31	1	0.27434311670483746	0.09591823302004394
PD058-F0_D780_pyclone	31	1	0.7882701431848065	0.11984961170208909
PD058-F0_D779_pyclone	31	1	0.042656894193478165	0.04635440217376313
PD058-F2_1815_pyclone	32	1	0.5729947767638321	0.2132054786295607
PD058-58_T_pyclone	32	1	0.1073493389939894	0.08209594016129436
PD058-F0_D780_pyclone	32	1	0.5000000000000003	0.2915475947422644
PD058-F0_D779_pyclone	32	1	0.06345823185773553	0.038493920246515496
PD058-F2_1815_pyclone	33	1	0.7610255328746912	0.10431406421644586
PD058-58_T_pyclone	33	1	0.3331759854739512	0.08181376900725183
PD058-F0_D780_pyclone	33	1	0.8822136846799387	0.08243864235352567
PD058-F0_D779_pyclone	33	1	0.0215793283860053	0.025805162072184747
PD058-F2_1815_pyclone	34	1	0.4458235117939778	0.16119627761214358
PD058-58_T_pyclone	34	1	0.24717706547804416	0.10690353334334676
PD058-F0_D780_pyclone	34	1	0.689382465644795	0.1478022029917729
PD058-F0_D779_pyclone	34	1	0.6894446572402313	0.15548107246010323
PD058-F2_1815_pyclone	35	1	0.8255636260945881	0.09057638480520375
PD058-58_T_pyclone	35	1	0.31962636512021875	0.07768305554246022
PD058-F0_D780_pyclone	35	1	0.814234147618695	0.09795765241062777
PD058-F0_D779_pyclone	35	1	0.02007613847759608	0.024309085120045905
PD058-F2_1815_pyclone	36	1	0.8457547239931406	0.09750545861685907
PD058-58_T_pyclone	36	1	0.33971441807897845	0.08679681374326946
PD058-F0_D780_pyclone	36	1	0.7223871275842232	0.11446186862767745
PD058-F0_D779_pyclone	36	1	0.02212843842586572	0.02635029432278715
PD058-F2_1815_pyclone	37	1	0.6201253206962261	0.22697387089704482
PD058-58_T_pyclone	37	1	0.09662447725297618	0.10795170493479395
PD058-F0_D780_pyclone	37	1	0.5937948677199055	0.22912419321155064
PD058-F0_D779_pyclone	37	1	0.0823340986172922	0.09323596367173649
PD058-F2_1815_pyclone	38	6	0.5291070108287844	0.037012321671099885
PD058-58_T_pyclone	38	6	0.2546362576163162	0.03165134947843211
PD058-F0_D780_pyclone	38	6	0.4852389934114904	0.03681742904122065
PD058-F0_D779_pyclone	38	6	0.4137904959008055	0.041515516036970304
PD058-F2_1815_pyclone	39	1	0.7962294874932934	0.12988563754904128
PD058-58_T_pyclone	39	1	0.2386049637223367	0.11415818200145379
PD058-F0_D780_pyclone	39	1	0.8420089161134153	0.11347439025763457
PD058-F0_D779_pyclone	39	1	0.06481785304698581	0.06735700369385392
PD058-F2_1815_pyclone	40	1	0.9196896038270639	0.06730924642215425
PD058-58_T_pyclone	40	1	0.28612430394685023	0.07759192348856991
PD058-F0_D780_pyclone	40	1	0.8279359245236774	0.09944378496567408
PD058-F0_D779_pyclone	40	1	0.02461572685873414	0.028811199188395652
PD058-F2_1815_pyclone	41	15	0.6148240743877248	0.0310182536786655
