sample_id	cluster_id	size	mean	std
PD056_F0_1636_pyclone	23	1	0.4795687933115274	0.2724505989578342
PD056_56_T_pyclone	23	1	0.12731708566395242	0.08562984182218886
PD056_F2_1709_pyclone	24	1	0.5104845425682171	0.2194316694192324
PD056_F0_1636_pyclone	24	1	0.4145335411721975	0.23167855285104613
PD056_56_T_pyclone	24	1	0.059971701270193765	0.052297252929449686
PD056_F2_1709_pyclone	25	1	0.5925210818779804	0.22831642050625878
PD056_F0_1636_pyclone	25	1	0.5079193061069617	0.26527327211305074
PD056_56_T_pyclone	25	1	0.02958600688776271	0.0391982785147797
PD056_F2_1709_pyclone	26	1	0.6355155586665115	0.19987139706826204
PD056_F0_1636_pyclone	26	1	0.5701388603256383	0.23005574947864205
PD056_56_T_pyclone	26	1	0.15372761954448688	0.08322388028253384
PD056_F2_1709_pyclone	27	1	0.49446149595955735	0.27926691900106687
PD056_F0_1636_pyclone	27	1	0.4975544151671321	0.279180594769404
PD056_56_T_pyclone	27	1	0.14773253836031155	0.09838203332238017
PD056_F2_1709_pyclone	28	1	0.7542107241602175	0.1604081064919518
PD056_F0_1636_pyclone	28	1	0.5931852686039286	0.24502391352119002
PD056_56_T_pyclone	28	1	0.38370687959474487	0.1542867806555865
PD056_F2_1709_pyclone	29	1	0.540237218241017	0.24704084761246997
PD056_F0_1636_pyclone	29	1	0.5743833551545323	0.2327528355305024
PD056_56_T_pyclone	29	1	0.06963857339370311	0.060175175391928
PD056_F2_1709_pyclone	30	1	0.49708078032999975	0.2766546584595955
PD056_F0_1636_pyclone	30	1	0.5922057064680027	0.23407210712321094
PD056_56_T_pyclone	30	1	0.14498966296929597	0.09118667967462613
PD056_F2_1709_pyclone	31	1	0.4638463963264844	0.28391920232785967
PD056_F0_1636_pyclone	31	1	0.5670506686776398	0.24187943482177163
PD056_56_T_pyclone	31	1	0.45397991451085	0.22087208952457302
PD056_F2_1709_pyclone	32	1	0.5248276641403411	0.24897338534029814
PD056_F0_1636_pyclone	32	1	0.4999176396378457	0.28578508575308526
PD056_56_T_pyclone	32	1	0.2584863732958332	0.13537544307476948
PD056_F2_1709_pyclone	33	1	0.31724844612016606	0.24275449567150506
PD056_F0_1636_pyclone	33	1	0.5222371368648236	0.2904429917181991
PD056_56_T_pyclone	33	1	0.25515046677617664	0.1337683828481483
